apple: 苹果
oil: 油
sauce: 酱汁
cake: 蛋糕
pie: 派
cookie: 饼干
candy: 糖果
chocolate: 巧克力
ice cream: 冰淇淋
pizza: 比萨
hamburger: 汉堡包
sandwich: 三明治
sausage: 香肠
ham: 火腿
bacon: 培根
seafood: 海鲜
fish: 鱼肉
chicken: 鸡肉
duck: 鸭肉
mutton: 羊肉
tofu: 豆腐
potato: 马铃薯
tomato: 番茄
onion: 洋葱
garlic: 大蒜
carrot: 胡萝卜
cucumber: 黄瓜
cabbage: 卷心菜
spinach: 菠菜
broccoli: 西兰花
mushroom: 蘑菇
corn: 玉米
bean: 豆
pea: 豌豆
nut: 坚果
peanut: 花生
walnut: 核桃
chestnut: 栗子
flour: 面粉
honey: 蜂蜜
jam: 果酱
vinegar: 醋
sun: 太阳
moon: 月亮
star: 星星
sky: 天空
cloud: 云
rain: 雨
snow: 雪
wind: 风
fire: 火
earth: 地球
mountain: 山
river: 河流
lake: 湖泊
sea: 海洋
ocean: 大洋
tree: 树
flower: 花
grass: 草
leaf: 树叶
forest: 森林
jungle: 丛林
desert: 沙漠
island: 岛屿
beach: 海滩
coast: 海岸
hill: 丘陵
valley: 山谷
cave: 洞穴
volcano: 火山
waterfall: 瀑布
stream: 溪流
field: 田野
soil: 土壤
stone: 石头
rock: 岩石
sand: 沙子
ice: 冰
air: 空气
fog: 雾
storm: 暴风雨
thunder: 雷
lightning: 闪电
rainbow: 彩虹
nature: 自然
red: 红色
blue: 蓝色
green: 绿色
yellow: 黄色
black: 黑色
white: 白色
pink: 粉红色
purple: 紫色
orange: 橙色
brown: 棕色
gray: 灰色
gold: 金色
silver: 银色
bronze: 青铜色
bright: 明亮
dark: 黑暗
light: 浅色
dark: 深色
transparent: 透明
head: 头部
face: 脸
eye: 眼睛
ear: 耳朵
nose: 鼻子
mouth: 嘴巴
tooth: 牙齿
tongue: 舌头
lip: 唇
hair: 头发
neck: 脖子
shoulder: 肩膀
arm: 手臂
elbow: 肘
wrist: 手腕
hand: 手
finger: 手指
thumb: 拇指
chest: 胸部
back: 背部
waist: 腰部
hip: 臀部
leg: 腿
knee: 膝盖
ankle: 脚踝
foot: 脚
toe: 脚趾
heart: 心脏
blood: 血液
brain: 大脑
skin: 皮肤
bone: 骨头
muscle: 肌肉
stomach: 胃
lung: 肺
liver: 肝脏
kidney: 肾脏
nerve: 神经
voice: 声音
man: 男人
woman: 女人
boy: 男孩
girl: 女孩
child: 儿童
baby: 婴儿
teenager: 青少年
adult: 成人
elder: 长者
father: 父亲
mother: 母亲
son: 儿子
daughter: 女儿
brother: 兄弟
sister: 姐妹
grandfather: 爷爷
grandmother: 奶奶
uncle: 叔叔
aunt: 阿姨
cousin: 堂表兄弟姐妹
nephew: 侄子
niece: 侄女
husband: 丈夫
wife: 妻子
parent: 双亲
friend: 朋友
neighbor: 邻居
teacher: 教师
student: 学生
doctor: 医生
nurse: 护士
police: 警察
worker: 工人
driver: 司机
farmer: 农民
cook: 厨师
waiter: 服务员
writer: 作家
artist: 艺术家
singer: 歌手
actor: 演员
engineer: 工程师
manager: 经理
lawyer: 律师
pilot: 飞行员
soldier: 士兵
house: 房子
room: 房间
door: 门
window: 窗户
wall: 墙
floor: 地板
roof: 屋顶
ceiling: 天花板
gate: 大门
yard: 庭院
garden: 花园
balcony: 阳台
kitchen: 厨房
bedroom: 卧室
bathroom: 卫生间
living room: 客厅
dining room: 餐厅
garage: 车库
basement: 地下室
attic: 阁楼
table: 桌子
chair: 椅子
bed: 床
desk: 书桌
sofa: 沙发
cabinet: 柜子
shelf: 架子
mirror: 镜子
carpet: 地毯
curtain: 窗帘
lamp: 灯
clock: 钟表
key: 钥匙
lock: 锁
pen: 钢笔
pencil: 铅笔
paper: 纸
book: 书
notebook: 笔记本
bag: 包
box: 盒子
bottle: 瓶子
cup: 杯子
glass: 玻璃杯
plate: 盘子
bowl: 碗
spoon: 勺子
fork: 叉子
knife: 刀
scissors: 剪刀
towel: 毛巾
soap: 肥皂
comb: 梳子
brush: 刷子
phone: 电话
computer: 电脑
camera: 相机
television: 电视
radio: 收音机
fan: 风扇
fridge: 冰箱
oven: 烤箱
heater: 加热器
iron: 熨斗
car: 汽车
bus: 公交车
train: 火车
plane: 飞机
ship: 轮船
boat: 小船
bicycle: 自行车
motorcycle: 摩托车
truck: 卡车
taxi: 出租车
subway: 地铁
helicopter: 直升机
rocket: 火箭
station: 车站
airport: 机场
harbor: 港口
street: 街道
road: 道路
highway: 公路
bridge: 桥梁
tunnel: 隧道
park: 公园
school: 学校
university: 大学
hospital: 医院
bank: 银行
hotel: 酒店
restaurant: 餐厅
store: 商店
market: 市场
supermarket: 超市
cinema: 电影院
theater: 剧院
museum: 博物馆
library: 图书馆
zoo: 动物园
stadium: 体育场
factory: 工厂
office: 办公室
church: 教堂
temple: 寺庙
city: 城市
town: 城镇
village: 村庄
country: 国家
world: 世界
sunshine: 阳光
shadow: 影子
time: 时间
second: 秒
minute: 分钟
hour: 小时
day: 白天
night: 夜晚
morning: 早上
noon: 中午
afternoon: 下午
evening: 晚上
midnight: 午夜
week: 星期
month: 月
year: 年
century: 世纪
today: 今天
tomorrow: 明天
yesterday: 昨天
past: 过去
present: 现在
future: 未来
spring: 春天
summer: 夏天
autumn: 秋天
winter: 冬天
season: 季节
music: 音乐
song: 歌曲
movie: 电影
game: 游戏
sport: 运动
art: 艺术
dance: 舞蹈
painting: 画作
photo: 照片
story: 故事
news: 新闻
history: 历史
math: 数学
science: 科学
money: 金钱
price: 价格
cost: 成本
coin: 硬币
note: 纸币
card: 卡片
pay: 支付
buy: 购买
sell: 销售
work: 工作
job: 职业
task: 任务
plan: 计划
goal: 目标
life: 生活
death: 死亡
love: 爱
hate: 恨
hope: 希望
fear: 恐惧
joy: 快乐
sadness: 悲伤
anger: 愤怒
peace: 和平
war: 战争
truth: 真理
lie: 谎言
dream: 梦
idea: 想法
thought: 思想
mind: 心智
spirit: 精神
soul: 灵魂
body: 身体
health: 健康
disease: 疾病
pain: 痛苦
medicine: 药物
shirt: 衬衫
t-shirt: T恤
pants: 裤子
jeans: 牛仔裤
skirt: 短裙
dress: 连衣裙
coat: 外套
jacket: 夹克
suit: 西装
sweater: 毛衣
socks: 袜子
shoes: 鞋子
boots: 靴子
hat: 帽子
cap: 便帽
glove: 手套
scarf: 围巾
belt: 腰带
ring: 戒指
necklace: 项链
watch: 手表
glasses: 眼镜
umbrella: 雨伞
wallet: 钱包
purse: 手提包
zipper: 拉链
button: 纽扣
pocket: 口袋
thread: 线
needle: 针
gold: 黄金
silver: 白银
iron: 铁
steel: 钢
copper: 铜
wood: 木头
plastic: 塑料
glass: 玻璃
paper: 纸张
cloth: 布料
leather: 皮革
stone: 石材
rubber: 橡胶
oil: 石油
gas: 气体
coal: 煤炭
electricity: 电
energy: 能量
power: 力量
force: 力
speed: 速度
distance: 距离
weight: 重量
height: 高度
width: 宽度
length: 长度
size: 尺寸
shape: 形状
circle: 圆形
square: 正方形
triangle: 三角形
rectangle: 矩形
line: 线条
point: 点
angle: 角度
center: 中心
side: 边缘
top: 顶端
bottom: 底部
front: 前面
back: 后面
left: 左边
right: 右边
inside: 内部
outside: 外部
north: 北方
south: 南方
east: 东方
west: 西方
space: 空间
system: 系统
network: 网络
data: 数据
information: 信息
code: 代码
program: 程序
screen: 屏幕
keyboard: 键盘
mouse: 鼠标
memory: 内存
signal: 信号
wave: 波
sound: 声音
noise: 噪音
silence: 沉默
light: 光
shadow: 阴影
heat: 热
cold: 冷
pressure: 压力
temperature: 温度
weather: 天气
climate: 气候
nature: 大自然
environment: 环境
earthquake: 地震
flood: 洪水
drought: 干旱
fire: 火灾
hazard: 危险
safety: 安全
health: 健康
care: 关怀
help: 帮助
support: 支持
service: 服务
system: 体制
rule: 规则
law: 法律
crime: 犯罪
court: 法院
judge: 法官
prison: 监狱
freedom: 自由
right: 权利
duty: 义务
order: 秩序
chaos: 混乱
group: 群体
team: 团队
party: 聚会
crowd: 人群
society: 社会
culture: 文化
language: 语言
word: 词语
letter: 字母
sentence: 句子
page: 页面
title: 标题
author: 作者
subject: 主题
topic: 话题
question: 问题
answer: 答案
reason: 理由
result: 结果
cause: 原因
effect: 效果
fact: 事实
truth: 实情
detail: 细节
example: 例子
type: 类型
kind: 种类
part: 部分
whole: 整体
piece: 片
section: 章节
group: 组
list: 列表
name: 名字
number: 数字
count: 计数
sum: 总数
total: 总计
pair: 一对
unit: 单位
level: 等级
grade: 级别
score: 分数
mark: 标记
sign: 符号
symbol: 象征
image: 图像
picture: 图片
photo: 照片
map: 地图
chart: 图表
graph: 曲线图
board: 板
card: 卡片
ticket: 票
page: 页
form: 表格
file: 文件
folder: 文件夹
record: 记录
note: 笔记
letter: 信件
mail: 邮件
message: 消息
chat: 聊天
call: 电话
talk: 讲话
speech: 演讲
voice: 嗓音
sound: 声响
noise: 杂音
tone: 语气
language: 语种
accent: 口音
dictionary: 字典
grammar: 语法
vocabulary: 词汇
meaning: 意思
sense: 感觉
feel: 体验
emotion: 情感
feeling: 感受
mood: 心情
attitude: 态度
view: 观点
opinion: 意见
belief: 信念
faith: 信仰
trust: 信任
doubt: 怀疑
fear: 害怕
worry: 担忧
stress: 压力
shock: 震惊
surprise: 惊奇
wonder: 奇迹
pity: 遗憾
regret: 后悔
shame: 羞耻
pride: 骄傲
honor: 荣誉
respect: 尊重
glory: 光荣
fame: 名声
power: 权力
control: 控制
force: 暴力
fight: 斗争
battle: 战斗
peace: 和平
victory: 胜利
defeat: 失败
loss: 损失
gain: 收益
profit: 利润
cost: 花费
tax: 税
bill: 账单
check: 支票
cash: 现金
credit: 信用
debt: 债务
loan: 贷款
wealth: 财富
poverty: 贫困
trade: 贸易
business: 商业
industry: 工业
market: 股市
shop: 店铺
store: 货栈
sale: 促销
purchase: 采购
deal: 交易
contract: 合同
agreement: 协议
offer: 报盘
request: 请求
demand: 需求
supply: 供应
product: 产品
goods: 商品
item: 物品
thing: 事物
object: 物体
stuff: 材料
tool: 工具
machine: 机器
device: 设备
engine: 引擎
motor: 马达
wheel: 车轮
gear: 齿轮
chain: 链条
wire: 电线
cable: 缆线
pipe: 管道
tube: 管子
tank: 罐
container: 容器
basket: 篮子
bucket: 水桶
can: 罐头
pot: 锅
pan: 平底锅
dish: 碟
tray: 托盘
bottle: 瓶
jar: 罐子
bag: 袋子
sack: 大袋
pack: 包裹
parcel: 邮包
box: 箱子
case: 盒
trunk: 后备箱
chest: 箱
locker: 储物柜
closet: 壁橱
drawer: 抽屉
shelf: 搁板
rack: 架
counter: 柜台
desk: 台面
table: 桌面
bench: 长椅
chair: 椅子
seat: 座位
couch: 长沙发
bed: 床铺
mat: 垫子
rug: 小地毯
blanket: 毯子
pillow: 枕头
sheet: 床单
quilt: 被子
towel: 毛巾
napkin: 餐巾
curtain: 帘子
blind: 百叶窗
shade: 灯罩
screen: 屏风
fence: 篱笆
gate: 栅栏门
door: 门扇
window: 窗
knob: 把手
handle: 柄
lock: 锁具
key: 钥匙扣
bell: 铃
alarm: 警报
light: 灯光
lamp: 台灯
torch: 火把
candle: 蜡烛
match: 火柴
lighter: 打火机
fuel: 燃料
coal: 煤
gas: 煤气
oil: 机油
wax: 蜡
soap: 香皂
shampoo: 洗发水
paste: 膏
cream: 乳霜
lotion: 护肤霜
perfume: 香水
powder: 粉末
brush: 刷
comb: 梳
razor: 剃须刀
mirror: 镜
tissue: 纸巾
trash: 垃圾
waste: 废物
dust: 灰尘
dirt: 泥土
mud: 泥浆
stain: 污渍
hole: 洞
crack: 裂缝
gap: 空隙
space: 空间
spot: 地点
place: 位置
site: 场地
area: 区域
zone: 地带
region: 地区
district: 行政区
sector: 扇区
local: 当地
center: 中心点
middle: 中间
edge: 边缘
border: 边界
boundary: 界限
limit: 限制
range: 范围
extent: 程度
degree: 度数
level: 水平
stage: 阶段
phase: 环节
step: 步骤
process: 过程
course: 课程
path: 小路
track: 轨道
trail: 小径
way: 路线
route: 路径
direction: 方向
north: 北
south: 南
east: 东
west: 西
left: 左
right: 右
up: 上
down: 下
front: 前
back: 后
side: 侧
top: 顶
bottom: 底
inside: 内
outside: 外
deep: 深
shallow: 浅
high: 高
low: 低
long: 长
short: 短
wide: 宽
narrow: 窄
thick: 厚
thin: 薄
heavy: 重
light: 轻
hard: 硬
soft: 软
smooth: 光滑
rough: 粗糙
clean: 干净
dirty: 脏
fresh: 新鲜
stale: 陈腐
hot: 热
warm: 暖
cool: 凉
cold: 冷
dry: 干
wet: 湿
sweet: 甜
sour: 酸
bitter: 苦
spicy: 辣
salty: 咸
delicious: 美味
fresh: 清新
strong: 强强
weak: 弱
fast: 快
slow: 慢
early: 早
late: 迟
new: 新
old: 旧
young: 年轻
aged: 衰老
good: 好
bad: 坏
great: 伟大的
fine: 良好
nice: 美好
poor: 贫穷
rich: 富有
happy: 快乐
sad: 伤心
angry: 生气
calm: 平静
quiet: 安全
noisy: 吵闹
safe: 安全
dangerous: 危险
easy: 简单
difficult: 困难
hard: 艰苦
simple: 简易
complex: 复杂
clear: 清晰
vague: 模糊
true: 真实
false: 虚假
right: 正确
wrong: 错误
real: 现实
fake: 假
open: 开放
closed: 关闭
full: 满
empty: 空
free: 免费
busy: 忙碌
ready: 准备好
active: 活跃
lazy: 懒惰
brave: 勇敢
afraid: 害怕
kind: 善良
cruel: 残忍
smart: 聪明
stupid: 愚蠢
funny: 有趣
boring: 无聊
famous: 著名
strange: 奇怪
normal: 正常
usual: 通常
special: 特别
common: 常见
rare: 罕见
public: 公共
private: 私人
main: 主要
sub: 次要
total: 完全
part: 局部
final: 最终
first: 第一
last: 最后
next: 下一个
same: 相同
different: 不同
equal: 平等
similar: 相似
able: 有能力的
possible: 可能的
certain: 确定
sure: 确信
ready: 随时
alive: 活着
dead: 死亡
sick: 有病
healthy: 健康
fit: 合适
fat: 胖
thin: 瘦
tall: 高
short: 矮
big: 大
small: 小
large: 巨大
tiny: 微小
huge: 庞大
wide: 辽阔
broad: 宽广
deep: 深刻
shallow: 肤浅
near: 近
far: 远
distant: 遥远
close: 亲密
direct: 直接
indirect: 间接
flat: 平坦
steep: 陡峭
straight: 笔直
curved: 弯曲
round: 圆的
square: 方的
sharp: 锋利
blunt: 钝
dense: 稠密
loose: 松散
tight: 紧
soft: 柔和
hard: 坚硬
rough: 粗暴
smooth: 顺滑
bright: 聪明
dark: 昏暗
loud: 大声
silent: 寂静
sweet: 芳香
sour: 酸腐
bitter: 辛酸
fresh: 生鲜
raw: 生的
cooked: 熟的
ripe: 成熟
rotten: 腐烂
wild: 野生
tame: 驯服
free: 自由
bound: 受限
cheap: 便宜
dear: 昂贵
expensive: 昂贵
valuable: 有价值
precious: 珍贵
worthless: 无价值
useful: 有用
useless: 无用
helpful: 有帮助
harmful: 有害
safe: 无害
secure: 安全
danger: 风险
risk: 危险
chance: 机会
luck: 运气
fate: 命运
destiny: 宿命
life: 生存
soul: 灵魂
body: 肉体
mind: 心灵
brain: 智力
head: 领袖
leader: 领导者
boss: 老板
chief: 首领
master: 主人
servant: 仆人
guest: 客人
host: 主人
stranger: 陌生人
enemy: 敌人
rival: 对手
partner: 伙伴
member: 成员
group: 团队
crowd: 群众
class: 班级
grade: 年级
team: 运动队
club: 俱乐部
company: 公司
firm: 商号
agency: 代理机构
office: 事务所
dept: 部门
unit: 小组
branch: 分支
board: 董事会
staff: 员工
crew: 全体人员
crew: 船员
army: 军队
navy: 海军
force: 部队
police: 警察局
court: 法庭
gov: 政府
state: 国家
nation: 民族
empire: 帝国
king: 国王
queen: 女王
prince: 王子
princess: 公主
president: 总统
minister: 部长
mayor: 市长
official: 官员
judge: 裁判
lawyer: 律师
doctor: 医师
nurse: 看护
patient: 病人
client: 客户
buyer: 买家
seller: 卖家
owner: 所有人
renter: 租客
user: 用户
driver: 驾驶员
rider: 骑手
passenger: 乘客
walker: 行人
runner: 跑步者
player: 选手
winner: 胜者
loser: 败者
hero: 英雄
villain: 反派
genius: 天才
fool: 傻瓜
ghost: 鬼魂
angel: 天使
devil: 魔鬼
god: 神
human: 人类
person: 个人
self: 自己
other: 别人
all: 所有人
none: 无人
some: 某些人
many: 许多人
few: 少数人
every: 每个人
each: 各自
this: 这个
that: 那个
these: 这些
those: 那些
here: 这里
there: 那里
where: 哪里
when: 何时
why: 为何
how: 如何
what: 什么
which: 哪一个
who: 谁
whom: 谁
whose: 谁的
all: 全部
both: 两者
either: 任何一个
neither: 两者都不
each: 每个
every: 每一个
other: 其他
another: 另一个
much: 许多
little: 很少
many: 很多
few: 很少
more: 更多
less: 更少
most: 最多
least: 最少
some: 一些
any: 任何
no: 没有
everybody: 每个人
everyone: 所有人
everything: 一切
somewhere: 某个地方
anywhere: 任何地方
nowhere: 无处
everywhere: 到处
always: 总是
usually: 通常
often: 经常
sometimes: 有时
seldom: 罕见
rarely: 很少
never: 从不
ever: 曾经
soon: 很快
already: 已经
still: 仍然
yet: 还
just: 刚刚
now: 现在
then: 那时
today: 今日
tonight: 今晚
soon: 不久
later: 后来
ago: 以前
before: 在...之前
after: 在...之后
since: 自从
until: 直到
during: 在...期间
while: 当...的时候
for: 持续
over: 越过
under: 在...下面
above: 在...上方
below: 在...下方
up: 向上
down: 向下
in: 在...里面
out: 在...外面
on: 在...上面
off: 离开
at: 在
by: 通过
near: 靠近
next: 紧挨
beside: 在...旁边
between: 在...之间
among: 在...之中
through: 穿越
across: 跨越
along: 沿着
around: 围绕
behind: 在...后面
front: 前面
opposite: 相反
beyond: 超越
within: 在...之内
without: 没有
about: 关于
with: 和
against: 反对
for: 为了
from: 来自
to: 到
into: 进入
onto: 到...之上
out of: 出于
like: 像
as: 作为
than: 比
and: 和
but: 但是
or: 或者
nor: 也不
so: 所以
for: 因为
yet: 然而
because: 因为
if: 如果
unless: 除非
though: 虽然
although: 尽管
while: 哪怕
whereas: 然而
since: 既然
as: 鉴于
so that: 以便
in order to: 为了
that: 那
which: 哪个
who: 谁
whom: 谁
whose: 谁的
where: 在哪
when: 何时
why: 为何
how: 怎样
what: 什么
whatever: 无论什么
whoever: 无论是谁
whenever: 无论何时
wherever: 无论何地
however: 无论如何
yes: 是的
no: 不是
not: 不
maybe: 可能
perhaps: 也许
probably: 很可能
certainly: 当然
surely: 必定
definitely: 明确地
indeed: 的确
really: 真正地
truly: 真实地
actually: 实际上
almost: 几乎
nearly: 差不多
quite: 相当
very: 非常
too: 太
enough: 足够
extremely: 极其
completely: 完全地
totally: 彻底地
entirely: 整体地
partly: 部分地
hardly: 几乎不
scarcely: 几乎没有
barely: 仅仅
just: 仅仅
only: 只有
also: 也
too: 也
as well: 同样
even: 甚至
again: 再次
once: 一次
twice: 两次
again and again: 反复
back: 返回
away: 离开
far: 远地
near: 近地
together: 一起
apart: 分开
alone: 单独
aside: 在一边
ahead: 在前面
behind: 在后面
forward: 向前
backward: 向后
upstairs: 在楼上
downstairs: 在楼下
inside: 在室内
outside: 在室外
indoors: 在户内
outdoors: 在户外
abroad: 在国外
home: 在家
anyway: 无论如何
besides: 此外
also: 另外
furthermore: 而且
however: 然而
therefore: 因此
thus: 从而
otherwise: 否则
instead: 反而
finally: 最终
lastly: 最后
firstly: 第一
secondly: 第二
thirdly: 第三
namely: 即
for example: 例如
such as: 比如
in fact: 事实上
in general: 总体上
in short: 简而言之
by the way: 顺便说
at last: 终于
at least: 至少
at most: 至多
on time: 准时
in time: 及时
all right: 没问题
of course: 当然
no problem: 没关系
never mind: 不要紧
you are welcome: 不用客气
see you: 再见
goodbye: 再见
hello: 你好
hi: 嗨
thanks: 谢谢
thank you: 谢谢你
please: 请
sorry: 对不起
excuse me: 打扰一下
pardon: 请原谅
congratulations: 祝贺
welcome: 欢迎
cheers: 干杯
bravo: 好极了
help: 救命
stop: 停止
wait: 等等
go: 走
come: 来
look: 看
listen: 听
run: 跑
walk: 走
jump: 跳
fly: 飞
swim: 游泳
sit: 坐
stand: 站
lie: 躺
sleep: 睡觉
wake: 醒来
eat: 吃
drink: 饮
cook: 烹饪
wash: 洗
clean: 清洁
open: 打开
close: 关上
start: 开始
stop: 结束
begin: 开始
end: 终止
finish: 完成
work: 工作
play: 游玩
study: 学习
learn: 学会
teach: 教授
read: 阅读
write: 书写
speak: 说话
talk: 交谈
say: 讲
tell: 告诉
ask: 提问
answer: 回答
think: 思考
know: 知道
understand: 理解
remember: 记得
forget: 忘记
believe: 相信
hope: 希望
wish: 祝愿
want: 想要
need: 需要
like: 喜欢
love: 爱
hate: 讨厌
prefer: 更喜欢
feel: 感觉
see: 看见
hear: 听见
smell: 闻到
taste: 品尝
touch: 触摸
hold: 握住
take: 拿
bring: 带来
carry: 搬运
fetch: 取来
give: 给予
send: 发送
pay: 付款
buy: 买
sell: 卖
cost: 花费
spend: 消耗
choose: 选择
pick: 挑选
collect: 收集
find: 找到
lose: 丢失
search: 寻找
hide: 隐藏
show: 展示
cover: 覆盖
drop: 掉落
fall: 摔倒
raise: 举起
lift: 提升
put: 放
place: 放置
set: 设置
add: 增加
cut: 剪切
divide: 分割
join: 连接
mix: 混合
change: 改变
turn: 旋转
move: 移动
drive: 驾驶
ride: 骑乘
fly: 飞行
travel: 旅行
visit: 访问
stay: 留宿
leave: 离开
return: 返回
arrive: 到达
reach: 抵达
meet: 见面
follow: 跟随
lead: 引导
guide: 导向
catch: 抓住
hit: 打击
beat: 敲打
push: 推
pull: 拉
throw: 扔
catch: 接住
kick: 踢
break: 打破
fix: 修理
repair: 修复
build: 建造
create: 创造
make: 制作
do: 做
act: 行动
perform: 表演
play: 演奏
sing: 唱歌
dance: 跳舞
draw: 绘画
paint: 油漆
design: 设计
plan: 策划
organize: 组织
manage: 管理
control: 控制
rule: 统治
lead: 领导
serve: 服务
help: 援助
save: 救助
protect: 保护
defend: 防御
attack: 攻击
fight: 斗争
win: 赢得
lose: 输掉
fail: 失败
succeed: 成功
try: 尝试
attempt: 企图
test: 测试
check: 检查
examine: 检验
prove: 证明
show: 证明
explain: 解释
describe: 描述
discuss: 讨论
agree: 同意
refuse: 拒绝
accept: 接受
allow: 允许
forbid: 禁止
promise: 承诺
warn: 警告
advise: 建议
suggest: 提议
decide: 决定
choose: 抉择
expect: 期待
suppose: 假设
guess: 猜测
wonder: 纳闷
matter: 紧要
seem: 似乎
appear: 显现
disappear: 消失
happen: 发生
occur: 出现
exist: 存在
remain: 保持
continue: 继续
keep: 保持
stay: 维持
grow: 增长
increase: 增加
decrease: 减少
drop: 下降
rise: 上升
fall: 下跌
change: 变化
become: 变成
turn: 转变
grow: 发育
develop: 发展
improve: 改善
produce: 生产
cause: 导致
lead to: 引起
allow: 使得
let: 让
make: 使
force: 迫使
allow: 准许
encourage: 鼓励
support: 支持
praise: 赞扬
thank: 感谢
welcome: 欢迎
invite: 邀请
greet: 打招呼
smile: 微笑
laugh: 大笑
cry: 哭泣
shout: 喊叫
call: 呼唤
whisper: 窃窃私语
sing: 鸣叫
ring: 鸣响
sound: 发声
noise: 弄出噪音
shine: 闪耀
glow: 发光
burn: 燃烧
melt: 熔化
freeze: 结冰
boil: 沸腾
cook: 烧菜
bake: 烘焙
roast: 烤
fry: 炸
steampot: 蒸
mix: 搅拌
stir: 动摇
shake: 摇晃
roll: 滚动
drop: 滴落
flow: 流动
blow: 吹
rain: 下雨
snow: 下雪
shine: 照耀
clear: 变晴
darken: 变暗
warm: 变暖
cool: 变凉
dry: 变干
wet: 弄湿
clean: 擦净
dirty: 弄脏
fill: 装满
empty: 倾倒
open: 解开
close: 锁上
lock: 锁住
unlock: 开锁
pack: 打包
unpack: 拆包
load: 装载
unload: 卸载
fill: 充满
cover: 掩盖
wrap: 包裹
unwrap: 打开
connect: 连通
disconnect: 断开
turn on: 打开
turn off: 关闭
switch: 转换
start: 启动
stop: 停机
run: 运行
operate: 操作
use: 使用
apply: 应用
employ: 雇用
hire: 租用
fire: 解雇
work: 运作
function: 起作用
fail: 故障
breakdown: 损坏
drop: 掉落
damage: 损坏
destroy: 摧毁
hurt: 伤害
injure: 负伤
kill: 杀害
die: 死亡
live: 生存
survive: 幸存
grow: 生长
plant: 种植
harvest: 收割
gather: 聚集
spread: 传播
scatter: 散开
collect: 收藏
keep: 保存
store: 储存
save: 储蓄
spend: 消费
waste: 浪费
cost: 计价
pay: 结账
charge: 收费
borrow: 借入
lend: 借出
rent: 出租
own: 拥有
possess: 具有
belong: 属于
share: 分享
divide: 分配
give: 赋予
receive: 接收
get: 获得
gain: 取得
earn: 赚取
win: 赢取
lose: 丧失
miss: 错过
avoid: 避免
escape: 逃脱
prevent: 预防
protect: 守护
guard: 看守
watch: 观察
notice: 注意
observe: 观测
spot: 发现
discover: 探索
invent: 发明
design: 规划
create: 创办
found: 建立
build: 施工
construct: 构造
shape: 塑形
form: 构成
make: 做出
cause: 产生
result in: 带来
mean: 意味着
signify: 表示
show: 表明
indicate: 指示
prove: 证实
verify: 核实
test: 检验
check: 核对
control: 检查
measure: 测量
weigh: 称重
count: 统计
calculate: 计算
add: 加
subtract: 减
multiply: 乘
divide: 除
equal: 等于
total: 合计
rate: 评估
rank: 排序
grade: 打分
score: 得分
pass: 通过
fail: 不合格
test: 考试
study: 研读
read: 翻阅
write: 撰写
spell: 拼写
pronounce: 发音
translate: 翻译
explain: 讲解
mean: 打算
intend: 想要
plan: 筹划
design: 设想
aim: 针对
goal: 定为目标
wish: 向往
desire: 渴望
demand: 要求
require: 需要
ask for: 索取
request: 申请
beg: 乞求
pray: 祈祷
thank: 致谢
apologize: 道歉
forgive: 原谅
pardon: 赦免
punish: 惩罚
blame: 责怪
scold: 训斥
fight: 争吵
argue: 争论
discuss: 商讨
debate: 辩论
talk: 聊天
chat: 闲聊
speak: 发言
report: 汇报
announce: 宣布
declare: 声明
claim: 声称
